Date,Product_ID,Product_Category,Customer_Age,Customer_Gender,Region,Season,Sales_Quantity,Unit_Price,Discount,Total_Sales,Advertising_Spend,Cost_per_unit,Profit,Profit_Margin
2022-03-27,139,Clothing,64,Male,South,Autumn,15,196.54,0.19,2387.96,795.61,89.66,1043.09,0.44
2022-03-29,140,Sports,29,Female,East,Summer,25,213.09,0.22,4155.26,4492.04,120.61,1140.07,0.27
2022-03-31,141,Electronics,26,Female,South,Summer,24,379.38,0.2,7284.1,2389.32,300.02,83.62,0.01
2022-04-03,142,Sports,27,Female,North,Spring,22,20.13,0.04,425.15,2736.03,12.45,151.23,0.36
2022-04-05,143,Clothing,61,Female,East,Autumn,20,141.82,0.17,2354.21,4626.24,101.24,329.38,0.14
2022-04-07,144,Clothing,34,Female,West,Summer,15,263.62,0.17,3282.07,3993.31,190.79,420.23,0.13
2022-04-09,145,Electronics,55,Male,West,Winter,32,141.73,0.26,3356.17,1087.26,116.48,-371.34,-0.11
2022-04-11,146,Clothing,24,Male,Central,Autumn,14,317.93,0.11,3961.41,3044.39,178.82,1457.88,0.37
2022-04-14,147,Beauty,63,Female,South,Spring,24,246.12,0.11,5257.12,2490.14,183.03,864.48,0.16
2022-04-16,148,Clothing,30,Male,East,Spring,22,187.24,0.19,3336.62,4087.45,164.92,-291.68,-0.09
2022-04-18,149,Sports,57,Female,Central,Spring,22,475.11,0.19,8466.46,3759.05,363.52,469.09,0.06
2022-04-20,150,Sports,59,Female,East,Winter,25,319.76,0.14,6874.84,3606.83,206.22,1719.23,0.25
2022-04-22,151,Sports,26,Male,South,Summer,16,73.67,0.13,1025.49,2032.45,52.7,182.28,0.18
2022-04-25,152,Sports,44,Male,West,Winter,17,284.44,0.15,4110.16,4122.34,218.97,387.61,0.09
2022-04-27,153,Beauty,19,Male,North,Autumn,20,392.56,0.26,5809.89,735.76,277.2,265.86,0.05
2022-04-29,154,Home & Kitchen,22,Female,West,Spring,14,357.16,0.14,4300.21,1218.31,145.84,2258.42,0.53
2022-05-01,155,Electronics,46,Male,Central,Winter,26,94.32,0.28,1765.67,2010.3,46.91,545.92,0.31
2022-05-03,156,Sports,54,Female,North,Winter,22,486.49,0.15,9097.36,845.63,391.74,479.12,0.05
2022-05-06,157,Clothing,55,Female,Central,Summer,21,229.92,0.28,3476.39,1557.47,123.31,886.84,0.26
2022-05-08,158,Sports,36,Female,South,Summer,14,87.92,0.25,923.16,4235.68,67.33,-19.42,-0.02
2022-05-10,159,Clothing,25,Male,North,Spring,25,98.3,0.11,2187.18,4767.13,57.61,746.93,0.34
2022-05-12,160,Clothing,62,Male,Central,Winter,17,58.14,0.26,731.4,1870.71,38.43,78.14,0.11
2022-05-14,161,Sports,18,Female,South,Winter,16,403.72,0.03,6265.73,1690.32,175.21,3462.39,0.55
2022-05-17,162,Beauty,39,Male,West,Summer,25,69.79,0.28,1256.22,1759.52,34.24,400.22,0.32
2022-05-19,163,Clothing,34,Male,South,Winter,18,71.31,0.19,1039.7,1749.74,62.65,-88.05,-0.08
2022-05-21,164,Clothing,24,Male,East,Winter,19,426.73,0.02,7945.71,661.69,360.62,1094.0,0.14
2022-05-23,165,Sports,42,Female,South,Winter,19,178.86,0.19,2752.66,4671.12,129.88,284.99,0.1
2022-05-25,166,Clothing,62,Female,South,Summer,22,25.12,0.29,392.37,1461.64,15.82,44.31,0.11
2022-05-28,167,Clothing,21,Male,East,Spring,13,35.43,0.02,451.38,2390.02,26.14,111.52,0.25
2022-05-30,168,Sports,53,Female,Central,Autumn,20,79.66,0.17,1322.36,543.59,56.5,192.29,0.15
2022-06-01,169,Sports,23,Male,Central,Spring,24,114.56,0.22,2144.56,4360.8,78.39,263.19,0.12
2022-06-03,170,Electronics,48,Male,South,Autumn,19,335.92,0.24,4850.68,3790.21,144.31,2108.84,0.43
2022-06-05,171,Beauty,36,Male,East,Winter,25,87.09,0.12,1915.98,4760.4,62.39,356.2,0.19
2022-06-07,172,Beauty,61,Male,East,Spring,19,68.25,0.06,1218.94,4017.27,53.54,201.7,0.17
2022-06-10,173,Clothing,56,Female,West,Autumn,20,384.71,0.01,7617.26,1911.68,345.1,715.25,0.09
2022-06-12,174,Beauty,44,Female,Central,Summer,24,338.82,0.17,6749.29,1615.43,137.4,3451.58,0.51
2022-06-14,175,Clothing,27,Female,North,Summer,17,223.31,0.14,3264.79,3639.72,170.85,360.32,0.11
2022-06-16,176,Electronics,43,Male,Central,Spring,31,279.16,0.28,6230.85,2138.51,191.47,295.15,0.05
2022-06-18,177,Sports,36,Male,Central,Spring,27,162.87,0.02,4309.54,3047.97,100.5,1596.17,0.37
2022-06-21,178,Sports,56,Male,West,Winter,14,246.43,0.21,2725.52,528.16,114.29,1125.45,0.41
2022-06-23,179,Sports,20,Female,North,Spring,14,258.27,0.01,3579.62,778.49,156.14,1393.73,0.39
2022-06-25,180,Beauty,62,Male,West,Winter,28,199.75,0.05,5313.35,2909.16,115.29,2085.13,0.39
2022-06-27,181,Electronics,30,Female,North,Winter,22,454.22,0.14,8593.84,3047.32,250.46,3083.64,0.36
2022-06-29,182,Beauty,45,Female,South,Summer,9,17.87,0.14,138.31,3881.54,13.68,15.21,0.11
2022-07-02,183,Beauty,37,Female,North,Summer,21,393.26,0.21,6524.18,1093.84,295.09,327.34,0.05
2022-07-04,184,Electronics,45,Female,West,Autumn,18,70.95,0.27,932.28,2809.32,49.28,45.32,0.05
2022-07-06,185,Electronics,25,Female,Central,Summer,18,400.8,0.19,5843.66,1375.01,348.43,-428.05,-0.07
2022-07-08,186,Electronics,58,Female,North,Summer,17,311.8,0.29,3763.43,919.38,179.26,715.97,0.19
2022-07-10,187,Electronics,56,Male,North,Spring,22,423.21,0.26,6889.86,2347.23,220.87,2030.64,0.29
2022-07-13,188,Sports,18,Male,East,Summer,22,57.78,0.18,1042.35,1235.01,42.06,117.01,0.11
2022-07-15,189,Home & Kitchen,20,Female,Central,Autumn,26,283.9,0.25,5536.05,1498.02,141.78,1849.73,0.33
2022-07-17,190,Home & Kitchen,30,Female,South,Spring,21,255.53,0.19,4346.57,1929.0,142.46,1354.92,0.31
2022-07-19,191,Electronics,45,Male,West,Autumn,23,356.03,0.02,8024.92,1667.25,182.39,3829.84,0.48
2022-07-21,192,Home & Kitchen,42,Female,South,Summer,15,271.8,0.22,3180.06,894.16,118.12,1408.29,0.44
2022-07-24,193,Home & Kitchen,50,Female,Central,Autumn,17,274.96,0.03,4534.09,904.62,223.75,730.37,0.16
2022-07-26,194,Electronics,55,Male,North,Spring,17,220.5,0.18,3073.77,1369.62,116.26,1097.3,0.36
2022-07-28,195,Home & Kitchen,23,Female,North,Winter,23,161.33,0.21,2931.37,727.52,102.69,569.52,0.19
2022-07-30,196,Beauty,61,Female,Central,Autumn,22,246.31,0.02,5310.44,3319.06,103.86,3025.56,0.57
2022-08-01,197,Clothing,62,Female,North,Autumn,32,68.06,0.07,2025.47,1792.97,51.02,392.74,0.19
2022-08-04,198,Clothing,49,Male,North,Spring,15,481.14,0.27,5268.48,1758.86,271.98,1188.8,0.23
2022-08-06,199,Electronics,62,Male,North,Spring,19,360.06,0.18,5609.73,1993.99,278.1,325.85,0.06
2022-08-08,200,Sports,64,Male,West,Autumn,23,476.71,0.07,10196.83,3482.58,288.98,3550.23,0.35
2022-08-10,201,Electronics,38,Female,West,Summer,13,121.1,0.21,1243.7,4417.85,60.29,459.89,0.37
2022-08-12,202,Sports,33,Female,East,Autumn,13,440.88,0.18,4699.78,3915.89,289.48,936.59,0.2
2022-08-15,203,Clothing,38,Male,South,Spring,26,406.31,0.15,8979.45,3773.88,189.04,4064.5,0.45
2022-08-17,204,Electronics,28,Female,Central,Winter,15,341.8,0.29,3640.17,2679.76,212.01,460.05,0.13
2022-08-19,205,Beauty,54,Female,Central,Winter,26,316.26,0.21,6495.98,3622.13,176.68,1902.31,0.29
2022-08-21,206,Home & Kitchen,53,Female,Central,Summer,22,165.11,0.11,3232.85,2987.43,141.33,123.58,0.04
2022-08-23,207,Sports,52,Female,East,Autumn,23,410.04,0.24,7167.5,1473.13,176.51,3107.82,0.43
2022-08-25,208,Home & Kitchen,36,Female,West,Winter,21,255.74,0.27,3920.49,1438.65,191.04,-91.35,-0.02
2022-08-28,209,Home & Kitchen,37,Male,East,Autumn,18,44.74,0.04,773.11,1833.76,21.98,377.39,0.49
2022-08-30,210,Electronics,35,Female,Central,Spring,20,163.3,0.06,3070.04,4598.61,91.37,1242.64,0.4
2022-09-01,211,Home & Kitchen,64,Male,South,Winter,24,468.3,0.06,10564.85,2963.37,284.61,3734.15,0.35
2022-09-03,212,Beauty,58,Female,North,Summer,20,426.83,0.21,6743.91,3802.57,364.52,-546.41,-0.08
2022-09-05,213,Home & Kitchen,31,Male,West,Spring,14,491.13,0.18,5638.17,2059.51,256.02,2053.88,0.36
2022-09-08,214,Electronics,32,Female,West,Summer,22,317.72,0.19,5661.77,2334.72,141.59,2546.72,0.45
2022-09-10,215,Beauty,48,Male,East,Spring,16,131.28,0.28,1512.35,1065.05,73.43,337.45,0.22
2022-09-12,216,Clothing,18,Female,West,Winter,22,89.78,0.23,1520.87,1270.83,40.61,627.43,0.41
2022-09-14,217,Home & Kitchen,20,Male,Central,Summer,15,101.59,0.04,1462.9,4223.1,47.17,755.38,0.52
2022-09-16,218,Electronics,33,Female,Central,Summer,15,19.7,0.1,265.95,3131.77,13.53,62.96,0.24
2022-09-19,219,Clothing,40,Male,East,Spring,18,201.43,0.13,3154.39,2018.9,86.71,1593.69,0.51
2022-09-21,220,Clothing,28,Female,Central,Summer,26,103.8,0.12,2374.94,4112.83,43.13,1253.69,0.53
2022-09-23,221,Sports,29,Male,South,Spring,23,211.71,0.2,3895.46,1609.34,160.31,208.37,0.05
2022-09-25,222,Beauty,27,Male,East,Spring,16,468.15,0.27,5467.99,4892.15,271.91,1117.39,0.2
2022-09-27,223,Home & Kitchen,49,Female,South,Spring,21,220.96,0.09,4222.55,2051.68,102.24,2075.6,0.49
2022-09-30,224,Electronics,33,Female,North,Spring,22,440.21,0.17,8038.23,2017.9,231.91,2936.31,0.37
2022-10-02,225,Sports,25,Male,South,Winter,23,306.7,0.24,5361.12,1903.6,221.14,274.8,0.05
2022-10-04,226,Beauty,55,Female,North,Spring,25,131.09,0.12,2883.98,1049.5,70.5,1121.58,0.39
2022-10-06,227,Sports,29,Male,North,Autumn,18,184.37,0.05,3152.73,1000.12,119.34,1004.69,0.32
2022-10-08,228,Beauty,41,Male,South,Summer,23,51.12,0.14,1011.15,3416.47,23.56,469.31,0.46
2022-10-11,229,Beauty,45,Male,East,Autumn,18,173.4,0.02,3058.78,4438.03,120.35,892.52,0.29
2022-10-13,230,Home & Kitchen,25,Female,Central,Winter,24,342.0,0.28,5909.76,4057.34,190.85,1329.38,0.22
2022-10-15,231,Beauty,45,Male,Central,Autumn,23,45.33,0.02,1021.74,1134.98,32.34,277.87,0.27
2022-10-17,232,Sports,53,Male,North,Summer,15,110.65,0.13,1443.98,2955.12,88.98,109.22,0.08
2022-10-19,233,Beauty,43,Female,North,Autumn,20,196.91,0.16,3308.09,975.16,138.98,528.42,0.16
2022-10-22,234,Home & Kitchen,25,Female,East,Winter,23,491.2,0.3,7908.32,703.83,269.12,1718.66,0.22
2022-10-24,235,Home & Kitchen,45,Female,West,Spring,30,394.58,0.05,11245.53,3453.74,208.29,4996.9,0.44
2022-10-26,236,Sports,45,Female,South,Autumn,15,369.41,0.03,5374.92,2908.19,208.24,2251.31,0.42
2022-10-28,237,Clothing,54,Male,North,Winter,21,66.93,0.0,1405.53,869.11,32.28,727.63,0.52
2022-10-30,238,Clothing,58,Male,Central,Winter,24,392.69,0.05,8953.33,657.23,192.65,4329.78,0.48
2022-11-02,239,Beauty,53,Male,East,Summer,25,394.78,0.06,9277.33,4953.9,313.99,1427.67,0.15
2022-11-04,240,Electronics,44,Male,South,Summer,18,304.54,0.19,4440.19,635.1,180.4,1193.01,0.27
2022-11-06,241,Beauty,34,Female,East,Autumn,20,495.28,0.07,9212.21,2500.38,306.08,3090.57,0.34
2022-11-08,242,Sports,26,Male,South,Spring,29,169.37,0.01,4862.61,2770.79,118.06,1439.02,0.3
2022-11-10,243,Sports,50,Male,South,Winter,22,471.22,0.25,7775.13,1027.76,327.42,571.97,0.07
2022-11-12,244,Sports,37,Female,North,Autumn,24,458.22,0.11,9787.58,1260.78,198.72,5018.19,0.51
2022-11-15,245,Sports,30,Male,East,Winter,11,15.63,0.11,153.02,2083.12,12.75,12.76,0.08
2022-11-17,246,Sports,45,Male,East,Winter,14,230.56,0.09,2937.33,3927.54,112.67,1360.01,0.46
2022-11-19,247,Home & Kitchen,46,Male,Central,Spring,28,488.78,0.29,9716.95,2781.87,372.22,-705.31,-0.07
2022-11-21,248,Clothing,30,Male,Central,Spring,9,60.53,0.05,517.53,3370.56,47.6,89.16,0.17
2022-11-23,249,Sports,63,Male,North,Autumn,17,278.41,0.27,3455.07,4933.29,210.88,-129.92,-0.04
2022-11-26,250,Electronics,52,Male,North,Spring,18,489.69,0.23,6787.1,3956.02,337.64,709.66,0.1
2022-11-28,251,Electronics,23,Female,West,Spring,25,282.19,0.02,6913.66,2454.63,114.94,4040.22,0.58
2022-11-30,252,Electronics,35,Female,Central,Autumn,15,103.01,0.3,1081.6,2508.99,59.77,185.13,0.17
2022-12-02,253,Electronics,22,Male,South,Spring,21,295.27,0.08,5704.62,3284.47,207.4,1349.14,0.24
2022-12-04,254,Home & Kitchen,64,Male,East,Summer,17,110.18,0.03,1816.87,3494.14,65.42,704.78,0.39
2022-12-07,255,Electronics,42,Female,North,Winter,13,264.66,0.25,2580.44,2753.2,220.13,-281.23,-0.11
2022-12-09,256,Sports,19,Male,East,Winter,23,46.28,0.21,840.91,3401.88,25.66,250.78,0.3
2022-12-11,257,Beauty,27,Male,East,Winter,18,306.69,0.19,4471.54,605.9,167.69,1453.15,0.32
2022-12-13,258,Electronics,47,Male,West,Winter,24,263.23,0.05,6001.64,2433.3,140.3,2634.41,0.44
2022-12-15,259,Home & Kitchen,62,Female,Central,Autumn,14,372.68,0.14,4487.07,1755.22,211.08,1531.91,0.34
2022-12-18,260,Home & Kitchen,22,Male,North,Winter,15,319.04,0.23,3684.91,1081.29,216.53,436.91,0.12
2022-12-20,261,Electronics,50,Female,East,Winter,33,279.31,0.09,8387.68,947.96,210.46,1442.43,0.17
2022-12-22,262,Beauty,18,Male,North,Winter,19,347.99,0.09,6016.75,3214.36,254.48,1181.64,0.2
2022-12-24,263,Electronics,35,Female,South,Winter,22,80.53,0.0,1771.66,2856.2,64.73,347.5,0.2
2022-12-26,264,Home & Kitchen,49,Female,West,Summer,19,301.73,0.05,5446.23,1641.13,254.35,613.66,0.11
2022-12-29,265,Clothing,64,Male,South,Winter,24,94.33,0.26,1675.3,2619.28,76.22,-154.04,-0.09
2022-12-31,266,Sports,28,Female,North,Summer,21,463.51,0.13,8468.33,2715.05,189.79,4482.64,0.53
2023-01-02,267,Home & Kitchen,38,Male,North,Autumn,25,43.48,0.3,760.9,1377.54,33.39,-73.87,-0.1
2023-01-04,268,Electronics,43,Female,Central,Spring,14,220.88,0.12,2721.24,3434.42,111.37,1162.09,0.43
2023-01-06,269,Sports,42,Male,East,Winter,16,350.94,0.21,4435.88,4014.14,163.7,1816.67,0.41
2023-01-09,270,Electronics,39,Male,East,Spring,26,234.43,0.08,5607.57,4061.59,168.61,1223.64,0.22
2023-01-11,271,Electronics,44,Female,South,Spring,23,55.13,0.11,1128.51,3211.11,30.87,418.6,0.37
2023-01-13,272,Clothing,30,Male,West,Autumn,24,281.16,0.06,6342.97,2802.37,120.49,3451.12,0.54
2023-01-15,273,Sports,50,Male,East,Spring,24,324.4,0.1,7007.04,774.53,152.08,3357.03,0.48
2023-01-17,274,Sports,51,Female,Central,Summer,18,354.86,0.16,5365.48,1795.24,142.11,2807.52,0.52
2023-01-20,275,Clothing,58,Male,South,Spring,21,192.9,0.3,2835.63,919.72,164.28,-614.16,-0.22
2023-01-22,276,Home & Kitchen,52,Male,South,Spring,24,286.19,0.2,5494.85,4837.2,118.0,2662.88,0.48
2023-01-24,277,Electronics,18,Female,Central,Spring,14,230.84,0.06,3037.85,1107.86,116.51,1406.7,0.46
2023-01-26,278,Beauty,38,Female,West,Winter,15,339.31,0.01,5038.75,1182.99,206.35,1943.58,0.39
2023-01-28,279,Electronics,23,Male,Central,Winter,30,295.94,0.04,8523.07,4503.09,171.14,3388.94,0.4
2023-01-30,280,Electronics,45,Male,West,Summer,23,267.62,0.17,5108.87,4747.68,229.05,-159.19,-0.03
2023-02-02,281,Home & Kitchen,34,Female,Central,Summer,21,132.27,0.23,2138.81,3946.23,55.57,971.78,0.45
2023-02-04,282,Electronics,22,Female,Central,Winter,18,10.99,0.28,142.43,524.32,7.21,12.64,0.09
2023-02-06,283,Clothing,48,Male,North,Summer,18,95.3,0.0,1715.4,506.06,70.54,445.59,0.26
2023-02-08,284,Clothing,22,Female,South,Winter,18,67.36,0.16,1018.48,2201.45,58.32,-31.34,-0.03
2023-02-10,285,Sports,55,Male,Central,Autumn,19,230.05,0.14,3759.02,1145.28,163.38,654.83,0.17
2023-02-13,286,Beauty,20,Male,Central,Spring,19,310.01,0.2,4712.15,582.74,248.59,-11.06,-0.0
2023-02-15,287,Electronics,40,Male,East,Spring,15,114.41,0.17,1424.4,2588.3,50.55,666.1,0.47
2023-02-17,288,Electronics,54,Male,South,Summer,18,470.14,0.21,6685.39,4743.78,278.78,1667.37,0.25
2023-02-19,289,Home & Kitchen,54,Male,East,Winter,17,13.27,0.2,180.47,1957.19,7.79,48.06,0.27
2023-02-21,290,Clothing,27,Female,South,Winter,22,388.43,0.04,8203.64,3475.13,327.5,998.59,0.12
2023-02-24,291,Beauty,27,Female,East,Summer,27,316.35,0.24,6491.5,3435.06,150.48,2428.46,0.37
2023-02-26,292,Sports,36,Female,Central,Winter,19,193.04,0.04,3521.05,1629.86,91.88,1775.4,0.5
2023-02-28,293,Clothing,34,Female,Central,Autumn,15,34.74,0.21,411.67,3426.91,19.6,117.62,0.29
2023-03-02,294,Sports,38,Male,North,Spring,18,317.47,0.12,5028.72,1455.5,135.63,2587.32,0.51
2023-03-04,295,Home & Kitchen,31,Male,East,Summer,15,198.95,0.15,2536.61,1049.03,97.73,1070.66,0.42
2023-03-07,296,Home & Kitchen,26,Male,West,Summer,21,468.77,0.27,7186.24,3656.22,413.74,-1502.27,-0.21
2023-03-09,297,Electronics,63,Male,North,Winter,18,275.58,0.27,3621.12,1010.48,169.23,574.95,0.16
2023-03-11,298,Beauty,18,Female,East,Summer,25,470.43,0.25,8820.56,4986.09,336.83,399.75,0.05
2023-03-13,299,Sports,62,Male,East,Autumn,26,118.04,0.15,2608.68,1325.54,90.07,266.84,0.1
2023-03-15,300,Clothing,30,Male,North,Winter,23,365.61,0.22,6559.04,3173.64,213.33,1652.54,0.25
2023-03-18,301,Home & Kitchen,21,Female,Central,Winter,14,312.45,0.15,3718.16,2351.19,147.98,1646.43,0.44
2023-03-20,302,Electronics,18,Female,East,Winter,14,372.31,0.26,3857.13,1068.74,187.38,1233.81,0.32
2023-03-22,303,Electronics,57,Female,Central,Winter,13,115.19,0.12,1317.77,625.3,64.12,484.23,0.37
2023-03-24,304,Sports,49,Female,North,Autumn,25,335.85,0.29,5961.34,3302.3,241.15,-67.46,-0.01
2023-03-26,305,Home & Kitchen,51,Male,Central,Winter,18,254.04,0.28,3292.36,4130.41,152.21,552.66,0.17
2023-03-29,306,Beauty,45,Male,South,Summer,28,373.98,0.22,8167.72,4289.07,150.87,3943.47,0.48
2023-03-31,307,Home & Kitchen,48,Female,West,Autumn,27,170.25,0.08,4229.01,2672.21,112.66,1187.32,0.28
2023-04-02,308,Sports,25,Male,East,Spring,17,446.13,0.04,7280.84,3998.55,384.01,752.68,0.1
2023-04-04,309,Sports,56,Male,West,Spring,20,51.31,0.26,759.39,3527.81,41.36,-67.77,-0.09
2023-04-06,310,Home & Kitchen,43,Male,Central,Summer,14,405.52,0.05,5393.42,3759.15,329.53,780.03,0.14
2023-04-09,311,Sports,51,Female,East,Summer,23,432.05,0.26,7353.49,2716.7,344.57,-571.67,-0.08
2023-04-11,312,Home & Kitchen,20,Male,Central,Autumn,27,410.45,0.15,9419.83,3350.35,230.62,3193.15,0.34
2023-04-13,313,Clothing,29,Female,South,Spring,15,261.24,0.12,3448.37,4124.87,204.45,381.68,0.11
2023-04-15,314,Home & Kitchen,18,Male,North,Spring,19,224.81,0.27,3118.11,2290.48,106.02,1103.81,0.35
2023-04-17,315,Home & Kitchen,61,Male,East,Spring,23,498.17,0.18,9395.49,4126.91,363.1,1044.3,0.11
2023-04-19,316,Sports,22,Male,South,Spring,25,122.29,0.17,2537.52,3164.08,88.14,333.9,0.13
2023-04-22,317,Sports,47,Female,South,Spring,13,277.97,0.17,2999.3,1246.55,114.74,1507.65,0.5
2023-04-24,318,Electronics,47,Male,East,Winter,15,338.63,0.11,4520.71,611.08,268.87,487.7,0.11
2023-04-26,319,Electronics,34,Female,Central,Summer,12,353.43,0.24,3223.28,2132.39,300.99,-388.59,-0.12
2023-04-28,320,Clothing,64,Female,South,Winter,26,109.97,0.08,2630.48,2960.13,58.69,1104.49,0.42
2023-04-30,321,Electronics,40,Female,West,Spring,18,330.46,0.28,4282.76,4279.19,266.42,-512.71,-0.12
2023-05-03,322,Home & Kitchen,32,Male,South,Autumn,24,411.0,0.27,7200.72,1073.69,181.33,2848.69,0.4
2023-05-05,323,Sports,54,Male,Central,Autumn,16,34.51,0.1,496.94,4100.93,24.16,110.44,0.22
2023-05-07,324,Electronics,38,Male,Central,Spring,22,456.65,0.22,7836.11,4383.54,293.55,1378.12,0.18
2023-05-09,325,Electronics,31,Male,West,Spring,18,24.46,0.17,365.43,1178.09,16.46,69.14,0.19
2023-05-11,326,Clothing,19,Female,South,Autumn,16,184.43,0.1,2655.79,4332.17,159.18,108.88,0.04
2023-05-14,327,Clothing,28,Female,Central,Winter,14,17.75,0.3,173.95,4961.54,14.83,-33.71,-0.19
2023-05-16,328,Home & Kitchen,56,Female,East,Winter,24,47.8,0.01,1135.73,3770.77,37.88,226.52,0.2
2023-05-18,329,Sports,55,Male,North,Spring,14,456.47,0.08,5879.33,4031.46,245.06,2448.56,0.42
2023-05-20,330,Clothing,51,Female,North,Winter,21,183.88,0.16,3243.64,4974.87,157.38,-61.43,-0.02
2023-05-22,331,Electronics,55,Male,North,Autumn,20,218.14,0.16,3664.75,3224.67,97.89,1706.93,0.47
2023-05-25,332,Sports,51,Female,South,Winter,19,115.52,0.18,1799.8,1885.49,95.5,-14.63,-0.01
2023-05-27,333,Sports,35,Male,West,Spring,14,302.58,0.23,3261.81,4268.89,170.68,872.3,0.27
2023-05-29,334,Electronics,47,Male,Central,Autumn,17,301.45,0.19,4150.97,3265.19,128.68,1963.32,0.47
2023-05-31,335,Clothing,32,Female,East,Winter,21,192.38,0.18,3312.78,3115.38,141.34,344.7,0.1
